"nome";"nome_sanitizado";"partido";"uf";"tipo";"espectro"
"Luiz Carlos Busato";"LUIZ CARLOS BUSATO";"UNIÃO";"RS";"deputado";NA
"Luiz Carlos Hauly";"LUIZ CARLOS HAULY";"PODE";"PR";"deputado";"não classificado"
"Luiz Carlos Motta";"LUIZ CARLOS MOTTA";"PL";"SP";"deputado";"direita"
"Luiz Couto";"LUIZ COUTO";"PT";"PB";"deputado";"esquerda"
"Luiz Fernando Faria";"LUIZ FERNANDO FARIA";"PSD";"MG";"deputado";"centro"
"Luiz Gastão";"LUIZ GASTAO";"PSD";"CE";"deputado";"centro"
"Luiz Lima";"LUIZ LIMA";"PL";"RJ";"deputado";"direita"
"Luiz Nishimori";"LUIZ NISHIMORI";"PSD";"PR";"deputado";"centro"
"Luiz Philippe De Orleans E Bragança";"LUIZ PHILIPPE ORLEANS E BRAGANCA";"PL";"SP";"deputado";"direita"
"Luiza Erundina";"LUIZA ERUNDINA";"PSOL";"SP";"deputado";"esquerda"
"Luizianne Lins";"LUIZIANNE LINS";"PT";"CE";"deputado";"esquerda"
"Lula Da Fonte";"LULA FONTE";"PP";"PE";"deputado";"centro-direita"
"Magda Mofatto";"MAGDA MOFATTO";"PRD";"GO";"deputado";NA
